file,srepNumber,SpokesNumber,Spoke,xPos,yPos,zPos,radii,Ux,Uy,Uz
103430,1,15,up,-121.49373626708984,-122.09220886230469,65.27082824707031,2.48468618734243,-0.7115486732314402,-0.6062646895506713,-0.355164204033297
103430,1,16,up,-118.84380340576172,-119.21647644042969,62.33152389526367,2.78718674187077,0.1785400247943169,-0.701513063558715,-0.6899296204707485
103430,1,17,up,-120.3467025756836,-119.26467895507812,62.5687370300293,2.9082815617322604,-0.16424498449025204,-0.6764669885773308,-0.717924786056948
103430,1,18,up,-122.01982116699219,-119.31126403808594,62.973106384277344,2.4495137887038547,-0.7416024471375717,-0.5453854704393762,-0.3906155386478955
103430,1,19,up,-118.96497344970703,-116.22821807861328,60.17411804199219,3.1524173775812394,0.153053946292541,-0.6833865069139252,-0.7138328737822766
103430,1,20,up,-120.42427825927734,-116.24746704101562,60.30805587768555,3.2686663209569446,-0.16467330316005224,-0.6560711003906259,-0.736514368127731
103430,1,21,up,-122.00704956054688,-116.19930267333984,60.52167510986328,2.4264005086518172,-0.7370005667339751,-0.47551652164839214,-0.4803271825258422
103430,1,22,up,-118.6453857421875,-113.23907470703125,58.087242126464844,3.723609645074043,0.10590121886746658,-0.6685079284003492,-0.7361264032136454
103430,1,23,up,-120.10963439941406,-113.14254760742188,58.10166549682617,3.7980262034329115,-0.1728249977334831,-0.6442362240124584,-0.745044433459234
103430,1,24,up,-121.65888214111328,-112.9397964477539,58.10736083984375,2.731398615449209,-0.6789301933123448,-0.39676974787576175,-0.6177601150766102
103430,1,25,up,-117.97413635253906,-110.35992431640625,56.365440368652344,4.151402161090161,0.023585872001927254,-0.6317240725507836,-0.7748344357356358
103430,1,26,up,-119.41973876953125,-110.14216613769531,56.19947814941406,4.192817565442275,-0.20505258733081105,-0.612779332727534,-0.7631873464693568
103430,1,27,up,-120.9155502319336,-109.79315185546875,55.97134780883789,3.119876053243369,-0.6010279408538207,-0.3684983731340308,-0.709206855092778
103430,1,28,up,-117.20181274414062,-107.97325897216797,54.857757568359375,4.197004988771936,-0.029039619997129264,-0.5511869192885781,-0.8338762980655997
103430,1,29,up,-118.50078582763672,-107.69216918945312,54.56270217895508,4.1709069608518785,-0.2138899592758577,-0.5275867025215429,-0.8221334177877804
103430,1,30,up,-119.83395385742188,-107.30912780761719,54.224098205566406,3.2047692101998386,-0.5244909008268906,-0.3375819502249067,-0.7816314488505086
103430,1,31,up,-116.5111312866211,-106.24104309082031,53.456417083740234,4.114050548890992,-0.04130876322018148,-0.44671321807054654,-0.8937230481990913
